"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0.04
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0.08
"15",14,0.14
"16",15,0.12
"17",16,0.14
"18",17,0.16
"19",18,0.24
"20",19,0.32
"21",20,0.52
"22",21,0.5
"23",22,0.94
"24",23,0.8
"25",24,1
"26",25,1.44
"27",26,1.4
"28",27,1.88
"29",28,2.48
"30",29,2.64
"31",30,3.18
"32",31,3.86
"33",32,4.7
"34",33,6.04
"35",34,6.02
"36",35,6.7
"37",36,7.6
"38",37,9.24
"39",38,10.78
"40",39,11.98
"41",40,14.34
"42",41,14.52
"43",42,16.76
"44",43,19.72
"45",44,20.56
"46",45,23.72
"47",46,25.06
"48",47,28.28
"49",48,29.82
"50",49,33.88
"51",50,58.52
"52",51,51.4
"53",52,48.68
"54",53,45.46
"55",54,45.1
"56",55,46.38
"57",56,48.4
"58",57,53.06
"59",58,53.16
"60",59,53.36
"61",60,60.48
"62",61,63.72
"63",62,63.58
"64",63,66.36
"65",64,72.74
"66",65,86.42
"67",66,85.98
"68",67,88.58
"69",68,90.44
"70",69,99.88
"71",70,102.22
"72",71,107.8
"73",72,112.48
"74",73,119.14
"75",74,129.14
"76",75,135.34
"77",76,143.94
"78",77,149.72
"79",78,158.8
"80",79,171.18
"81",80,168.68
"82",81,188.52
"83",82,208.4
"84",83,204.2
"85",84,215.72
"86",85,225.64
